channel_set,epoch,g,is_best,learning_rate,model_family,run_id,stride,ticket_stage,track,train_acc@1,train_loss,validation_file_acc@1,validation_file_f1,validation_window_acc@1,validation_window_f1,view_mode,window_size
,3,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,43.152866242038215,1.8345340300517476,,,,,diff,100
,4,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,48.96496815286624,1.602861958704177,,,,,diff,100
,5,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,51.910828025477706,1.459227269622171,,,,,diff,100
,6,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,54.73726114649681,1.3680711589801084,,,,,diff,100
,7,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,56.25,1.3284891896946416,,,,,diff,100
,8,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,59.15605095541401,1.2578822419901563,,,,,diff,100
,9,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,60.98726114649681,1.1906359104593849,,,,,diff,100
,10,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,60.35031847133758,1.196740426834981,,,,,diff,100
,11,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,64.3312101910828,1.103518301893951,,,,,diff,100
,12,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,65.12738853503184,1.0540787869957602,,,,,diff,100
,13,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,65.88375796178345,1.031707341503945,,,,,diff,100
,14,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,66.48089171974522,0.9996634114320111,,,,,diff,100
,15,25,,,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,69.18789808917198,0.928642042123588,,,,,diff,100
