channel_set,g,metric_name,metric_value,model_family,run_id,stride,ticket_stage,track,view_mode,window_size
,25,acc@5,87.84860557768924,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,t10b,research-extension,diff,100
,25,macro_precision,54.631826260047674,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,t10b,research-extension,diff,100
,25,macro_recall,51.448484848484846,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,t10b,research-extension,diff,100
,25,macro_f1,49.36946294378056,inception,t10b_inception_diff_supervised_w100_g25-20260401-144426-c9f0ef66,50,t10b,research-extension,diff,100
,25,acc@1,45.41832669322709,inception,t10b_inception_raw_aligned_supervised_w100_g25-20260401-144319-da3dcb55,50,t10b,research-extension,raw_aligned,100
,25,acc@5,78.48605577689243,inception,t10b_inception_raw_aligned_supervised_w100_g25-20260401-144319-da3dcb55,50,t10b,research-extension,raw_aligned,100
,25,macro_precision,43.74611479477881,inception,t10b_inception_raw_aligned_supervised_w100_g25-20260401-144319-da3dcb55,50,t10b,research-extension,raw_aligned,100
,25,macro_recall,45.56666666666666,inception,t10b_inception_raw_aligned_supervised_w100_g25-20260401-144319-da3dcb55,50,t10b,research-extension,raw_aligned,100
,25,macro_f1,40.815311277485236,inception,t10b_inception_raw_aligned_supervised_w100_g25-20260401-144319-da3dcb55,50,t10b,research-extension,raw_aligned,100
,25,acc@1,44.6215139442231,inception,t11_f1_inception_diff_gcms_finetune_w100_g25-20260401-151800-cb297298,50,t11,research-extension,diff,100
,25,acc@5,78.68525896414343,inception,t11_f1_inception_diff_gcms_finetune_w100_g25-20260401-151800-cb297298,50,t11,research-extension,diff,100
,25,macro_precision,43.35072117425058,inception,t11_f1_inception_diff_gcms_finetune_w100_g25-20260401-151800-cb297298,50,t11,research-extension,diff,100
,25,macro_recall,44.25050505050505,inception,t11_f1_inception_diff_gcms_finetune_w100_g25-20260401-151800-cb297298,50,t11,research-extension,diff,100
,25,macro_f1,41.171469141963726,inception,t11_f1_inception_diff_gcms_finetune_w100_g25-20260401-151800-cb297298,50,t11,research-extension,diff,100
,25,acc@1,26.89243027888446,inception,t11_p1_inception_diff_gcms_pretrain_w100_g25-20260401-151646-272c8a2b,50,t11,research-extension,diff,100
,25,acc@5,63.94422310756972,inception,t11_p1_inception_diff_gcms_pretrain_w100_g25-20260401-151646-272c8a2b,50,t11,research-extension,diff,100
,25,macro_precision,21.985107054668905,inception,t11_p1_inception_diff_gcms_pretrain_w100_g25-20260401-151646-272c8a2b,50,t11,research-extension,diff,100
,25,macro_recall,27.00404040404041,inception,t11_p1_inception_diff_gcms_pretrain_w100_g25-20260401-151646-272c8a2b,50,t11,research-extension,diff,100
,25,macro_f1,22.62440194701473,inception,t11_p1_inception_diff_gcms_pretrain_w100_g25-20260401-151646-272c8a2b,50,t11,research-extension,diff,100
